species,CN,CL
Helicosphaera carteri,13,8.14
Helicosphaera carteri,14,7.98
Helicosphaera carteri,12,8.76
Helicosphaera carteri,16,9.30
Helicosphaera carteri,16,10.25
Helicosphaera carteri,12,10.22
Helicosphaera carteri,15,9.46
Helicosphaera carteri,17,9.87
Helicosphaera carteri,13,8.35
Helicosphaera carteri,18,8.34
Helicosphaera carteri,15,8.20
Helicosphaera carteri,15,10.16
Helicosphaera carteri,14,9.52
Helicosphaera carteri,18,7.03
Helicosphaera carteri,22,8.59
Helicosphaera carteri,15,8.99
Helicosphaera carteri,12,9.23
Helicosphaera carteri,17,9.33
Helicosphaera carteri,16,9.35
Helicosphaera carteri,16,8.50
Helicosphaera carteri,12,8.91
Helicosphaera carteri,17,8.54
Helicosphaera carteri,19,10.76
Helicosphaera carteri,15,8.97
Helicosphaera carteri,11,9.33
Helicosphaera carteri,21,9.88
Helicosphaera carteri,14,9.66
Helicosphaera carteri,14,9.48
Helicosphaera carteri,16,9.75
Helicosphaera carteri,21,8.65
Helicosphaera carteri,20,10.20
Helicosphaera carteri,15,10.06
Helicosphaera carteri,15,8.17
Helicosphaera carteri,17,8.66
Helicosphaera carteri,14,9.19
Helicosphaera carteri,15,8.10
Helicosphaera carteri,15,8.34
Helicosphaera carteri,20,9.52
Helicosphaera carteri,23,9.40
Helicosphaera carteri,27,9.28
Helicosphaera carteri,16,8.44
Helicosphaera carteri,18,9.51
Helicosphaera carteri,15,9.42
Helicosphaera carteri,16,9.14
Helicosphaera carteri,6,9.74
Helicosphaera carteri,22,8.16
Helicosphaera carteri,10,9.39
Helicosphaera carteri,14,9.28
Helicosphaera carteri,20,8.91
Helicosphaera carteri,21,8.61
Helicosphaera carteri,16,8.10
Helicosphaera carteri,13,6.80
Helicosphaera carteri,15,8.49
Helicosphaera carteri,14,8.46
Helicosphaera carteri,13,6.99
Helicosphaera carteri,13,9.55
Helicosphaera carteri,22,9.11
Helicosphaera carteri,22,8.97
Helicosphaera carteri,14,8.00
Helicosphaera carteri,18,9.83
Helicosphaera carteri,13,8.47
Helicosphaera carteri,12,9.36
Helicosphaera carteri,16,9.38
Helicosphaera carteri,11,8.89
Helicosphaera carteri,10,7.39
Helicosphaera carteri,15,8.40
Helicosphaera carteri,17,9.22
Helicosphaera carteri,16,8.28
Helicosphaera carteri,20,9.37
Helicosphaera carteri,10,8.54
Helicosphaera carteri,20,9.38
Helicosphaera carteri,16,8.81
Helicosphaera carteri,13,8.10
Helicosphaera carteri,12,8.47
Helicosphaera carteri,19,9.53
Helicosphaera carteri,15,8.16
Helicosphaera carteri,17,8.21
Helicosphaera carteri,13,8.51
Helicosphaera carteri,16,9.62
Helicosphaera carteri,19,7.60
Helicosphaera carteri,19,9.02
Helicosphaera carteri,30,8.50
Helicosphaera carteri,16,9.53
Helicosphaera carteri,12,9.65
Helicosphaera carteri,11,9.47
Helicosphaera carteri,17,9.00
Helicosphaera carteri,20,10.34
Helicosphaera carteri,13,8.62
Helicosphaera carteri,17,8.19
Helicosphaera carteri,13,9.26
Helicosphaera carteri,12,9.41
Helicosphaera carteri,12,10.03
Helicosphaera carteri,14,10.17
Helicosphaera carteri,25,9.49
Helicosphaera carteri,19,8.07
Helicosphaera carteri,16,9.50
Helicosphaera carteri,22,9.66
Helicosphaera carteri,20,9.41
Helicosphaera carteri,12,9.64
Helicosphaera carteri,12,9.38
Helicosphaera carteri,11,7.74
Helicosphaera carteri,14,8.89
Helicosphaera carteri,20,8.83
Helicosphaera carteri,17,8.66
Helicosphaera carteri,15,10.28
Helicosphaera carteri,14,8.30
Helicosphaera carteri,12,6.70
Helicosphaera carteri,15,9.57
Helicosphaera carteri,11,9.57
Helicosphaera carteri,14,9.20
Helicosphaera carteri,19,8.60
Helicosphaera carteri,15,8.40
Helicosphaera carteri,15,8.86
Helicosphaera carteri,13,7.87
Helicosphaera carteri,26,9.39
Helicosphaera carteri,14,8.89
Helicosphaera carteri,15,8.55
Helicosphaera carteri,14,8.49
Helicosphaera carteri,14,8.82
Helicosphaera carteri,22,8.41
Helicosphaera carteri,13,7.86
Helicosphaera carteri,18,8.85
Helicosphaera carteri,16,8.28
Helicosphaera carteri,9,9.48
Helicosphaera carteri,18,9.50
Helicosphaera carteri,19,9.40
Helicosphaera carteri,18,9.04
Helicosphaera carteri,14,7.45
Helicosphaera carteri,23,9.98
Helicosphaera carteri,19,10.32
Helicosphaera carteri,14,9.46
Helicosphaera carteri,22,9.06
Helicosphaera carteri,19,9.66
Helicosphaera carteri,20,8.44
Helicosphaera carteri,14,9.15
Helicosphaera carteri,12,10.37
Helicosphaera carteri,17,9.75
Helicosphaera carteri,20,7.50
Helicosphaera carteri,14,8.73
Helicosphaera carteri,15,9.63
Helicosphaera carteri,19,8.36
Helicosphaera carteri,12,7.92
Helicosphaera carteri,16,7.36
Helicosphaera carteri,20,8.63
Helicosphaera carteri,15,9.49
Helicosphaera carteri,22,8.76
Helicosphaera carteri,12,8.76
Helicosphaera carteri,23,9.20
Helicosphaera carteri,18,9.87
Helicosphaera carteri,22,8.89
Helicosphaera carteri,15,9.33
