species,volume,pg pic,phase
Gephyrocapsa ericsonii,14.44,0.55,HET
Gephyrocapsa ericsonii,9.32,1.49,HET
Gephyrocapsa ericsonii,14.12,0.53,HET
Gephyrocapsa ericsonii,24.63,3.2,HET
Gephyrocapsa ericsonii,11.36,1.59,HET
Gephyrocapsa ericsonii,9.93,0.88,HET
Gephyrocapsa ericsonii,9.93,0.59,HET
Gephyrocapsa ericsonii,9.7,0.42,HET
Gephyrocapsa ericsonii,10.78,0.8,HET
Gephyrocapsa ericsonii,13.48,0.98,HET
Gephyrocapsa ericsonii,14.49,0.87,HET
Gephyrocapsa ericsonii,9.45,1.24,HET
Gephyrocapsa ericsonii,11.6,1.29,HET
Gephyrocapsa ericsonii,13.17,1.05,HET
Gephyrocapsa ericsonii,13.79,1.59,HET
Gephyrocapsa ericsonii,15.16,1.0,HET
Gephyrocapsa ericsonii,16.26,0.94,HET
Gephyrocapsa ericsonii,23.86,2.17,HET
Gephyrocapsa ericsonii,20.95,0.72,HET
Gephyrocapsa ericsonii,13.81,0.95,HET
Gephyrocapsa ericsonii,10.19,0.47,HET
Gephyrocapsa ericsonii,26.07,1.49,HET
Gephyrocapsa ericsonii,17.78,0.51,HET
Gephyrocapsa ericsonii,19.4,1.86,HET
Gephyrocapsa ericsonii,11.07,1.69,HET
Gephyrocapsa ericsonii,18.21,1.11,HET
Gephyrocapsa ericsonii,16.23,0.89,HET
Gephyrocapsa ericsonii,24.8,0.73,HET
Gephyrocapsa ericsonii,10.45,1.03,HET
Gephyrocapsa ericsonii,11.32,0.72,HET
Gephyrocapsa ericsonii,11.3,0.88,HET
Gephyrocapsa ericsonii,15.52,1.26,HET
Gephyrocapsa ericsonii,9.93,0.39,HET
Gephyrocapsa ericsonii,9.54,0.81,HET
Gephyrocapsa muellerae,62.7,10.19,HET
Gephyrocapsa parvula,12.53,0.92,HET
Gephyrocapsa ericsonii,16.16,2.38,HET
Gephyrocapsa parvula,17.61,2.07,HET
Gephyrocapsa ericsonii,12.26,0.62,HET
Gephyrocapsa parvula,9.35,0.76,HET
Gephyrocapsa ericsonii,10.78,0.35,HET
Gephyrocapsa ericsonii,12.79,0.77,HET
Gephyrocapsa ericsonii,8.9,0.55,HET
Gephyrocapsa ericsonii,10.74,0.56,HET
Gephyrocapsa ericsonii,11.3,0.54,HET
Gephyrocapsa ericsonii,13.2,0.43,HET
Gephyrocapsa parvula,10.98,0.77,HET
Gephyrocapsa parvula,14.48,1.2,HET
Gephyrocapsa parvula,14.49,1.28,HET
Gephyrocapsa ericsonii,9.64,0.52,HET
Gephyrocapsa ericsonii,14.92,1.6,HET
Gephyrocapsa ericsonii,9.66,0.74,HET
Gephyrocapsa parvula,17.01,0.68,HET
Gephyrocapsa parvula,14.48,1.38,HET
Gephyrocapsa ericsonii,14.47,0.72,HET
Gephyrocapsa ericsonii,8.9,0.5,HET
Gephyrocapsa ericsonii,14.14,0.62,HET
Gephyrocapsa parvula,20.25,1.63,HET
Gephyrocapsa ericsonii,18.58,0.86,HET
Gephyrocapsa ericsonii,15.55,0.81,HET
Gephyrocapsa ericsonii,9.16,0.18,HET
Gephyrocapsa muellerae,57.42,8.31,HET
Gephyrocapsa ericsonii,15.16,0.77,HET
Gephyrocapsa ericsonii,14.82,0.61,HET
Gephyrocapsa muellerae,84.82,18.2,HET
Gephyrocapsa ericsonii,10.76,1.11,HET
Gephyrocapsa muellerae,64.48,6.0,HET
Gephyrocapsa ornata,63.99,7.53,HET
Gephyrocapsa ericsonii,14.63,1.45,HET
Gephyrocapsa ericsonii,10.48,0.72,HET
Gephyrocapsa ericsonii,13.6,1.04,HET
Gephyrocapsa ericsonii,12.83,0.89,HET
Gephyrocapsa ericsonii,9.12,0.56,HET
Gephyrocapsa ericsonii,12.26,1.02,HET
Gephyrocapsa ericsonii,14.36,1.15,HET
Gephyrocapsa ericsonii,11.03,0.7,HET
Gephyrocapsa ericsonii,9.15,0.85,HET
Gephyrocapsa ericsonii,10.48,0.63,HET
Gephyrocapsa ericsonii,8.41,0.52,HET
Gephyrocapsa ericsonii,8.4,0.5,HET
Gephyrocapsa ericsonii,11.34,0.62,HET
Gephyrocapsa ericsonii,11.03,0.84,HET
Gephyrocapsa ericsonii,12.22,0.88,HET
Gephyrocapsa parvula,10.19,0.78,HET
Gephyrocapsa parvula,11.61,1.12,HET
Gephyrocapsa ericsonii,11.33,0.68,HET
Gephyrocapsa ericsonii,14.12,0.69,HET
Gephyrocapsa parvula,17.78,1.32,HET
Gephyrocapsa muellerae,59.53,9.62,HET
Gephyrocapsa parvula,17.81,0.76,HET
Gephyrocapsa muellerae,101.43,10.44,HET
Gephyrocapsa ornata,61.11,3.25,HET
Gephyrocapsa parvula,9.36,0.59,HET
Gephyrocapsa muellerae,55.0,6.16,HET
Gephyrocapsa muellerae,49.24,5.67,HET
Gephyrocapsa muellerae,40.56,5.39,HET
Gephyrocapsa ornata,37.25,3.66,HET
Gephyrocapsa parvula,12.83,1.09,HET
Gephyrocapsa muellerae,106.53,9.0,HET
Gephyrocapsa parvula,15.16,1.12,HET
Gephyrocapsa parvula,14.44,0.83,HET
Gephyrocapsa muellerae,66.55,5.16,HET
Gephyrocapsa muellerae,94.12,10.51,HET
Gephyrocapsa muellerae,118.55,15.9,HET
Gephyrocapsa muellerae,88.04,10.07,HET
Gephyrocapsa parvula,19.44,1.6,HET
Gephyrocapsa muellerae,79.53,12.5,HET
Gephyrocapsa parvula,15.53,1.66,HET
Gephyrocapsa parvula,15.88,0.96,HET
Gephyrocapsa ornata,29.49,5.69,HET
Gephyrocapsa muellerae,52.46,4.52,HET
Gephyrocapsa parvula,13.14,0.99,HET
Gephyrocapsa muellerae,63.65,6.82,HET
Gephyrocapsa ornata,25.81,3.53,HET
Gephyrocapsa parvula,12.52,0.34,HET
Gephyrocapsa muellerae,57.46,10.04,HET
Gephyrocapsa muellerae,72.29,5.51,HET
Gephyrocapsa muellerae,75.39,8.31,HET
Gephyrocapsa muellerae,65.73,5.76,HET
Gephyrocapsa muellerae,88.32,7.36,HET
Gephyrocapsa muellerae,56.66,6.59,HET
Gephyrocapsa muellerae,84.09,9.64,HET
Gephyrocapsa muellerae,57.4,7.43,HET
Gephyrocapsa muellerae,127.17,11.63,HET
Gephyrocapsa muellerae,42.02,4.11,HET
Gephyrocapsa muellerae,89.44,14.4,HET
Gephyrocapsa muellerae,92.92,13.44,HET
Gephyrocapsa ornata,45.5,4.12,HET
Gephyrocapsa muellerae,64.3,6.94,HET
Gephyrocapsa muellerae,54.23,6.59,HET
Gephyrocapsa muellerae,62.53,4.74,HET
Gephyrocapsa muellerae,78.43,6.93,HET
Gephyrocapsa muellerae,63.6,8.32,HET
Gephyrocapsa muellerae,111.54,8.4,HET
Gephyrocapsa muellerae,61.01,9.29,HET
Gephyrocapsa muellerae,57.35,10.12,HET
Gephyrocapsa ornata,35.97,5.2,HET
Gephyrocapsa muellerae,71.23,7.54,HET
Gephyrocapsa muellerae,82.39,6.91,HET
Gephyrocapsa muellerae,68.74,7.17,HET
Gephyrocapsa muellerae,51.58,3.46,HET
Gephyrocapsa muellerae,78.18,13.39,HET
Gephyrocapsa muellerae,59.14,7.15,HET
Gephyrocapsa muellerae,74.08,4.17,HET
Gephyrocapsa muellerae,78.37,9.39,HET
Gephyrocapsa muellerae,58.25,10.91,HET
Gephyrocapsa muellerae,74.21,9.11,HET
Gephyrocapsa muellerae,72.22,7.71,HET
